"SAP Num","Manufacturer part no.","Base model code","Processor","Memory","HDD","Graphics","Keyboard Options","Power","Colour","Stock","ALP","DAC"
5512707,"Z0XZ_2000475491_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","32GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2557.5,2430.32
5512741,"Z0XZ_2000479151_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","32GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2632.5,2501.5
5512743,"Z0XZ_2000476202_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","32GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2707.5,2573.68
5512895,"Z0XZ_2000475496_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","32GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2707.5,2573.68
5512977,"Z0XZ_2000478896_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","32GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2782.5,2644.86
5512710,"Z0XZ_2000476200_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","32GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",3,2857.5,2717.04
5512896,"Z0XZ_2000476204_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","32GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3007.5,2859.39
5512489,"Z0XZ_75_UK_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","32GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3082.5,2930.57
5512711,"Z0XZ_2000478658_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","32GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3157.5,3002.75
5512897,"Z0XZ_52_UK_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","32GB 2666MHz DDR4 memory","4TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3457.5,3287.46
